school_name,degree_name,dept_name,course_code,course_name,description,level,modality,course_url
Pittsburg State University,Bachelor of Science in Computer Science,Department of Computer Science and Information Systems,CS 455,Artificial Intelligence Applications,"Applications of AI in software development and data analysis including expert systems, natural language processing, and machine learning",Undergraduate,In-person,https://www.pittstate.edu/science/programs/computer-science/index.html
Fort Hays State University,Bachelor of Science in Computer Science,Department of Mathematics and Computer Science,CSCI 440,Data Analytics and Visualization,Methods for analyzing and visualizing large datasets using statistical software and programming tools for data-driven decision making,Undergraduate,In-person,www.fhsu.edu/
Emporia State University,Bachelor of Science in Computer Science - Data Science Concentration,School of Business and Technology,CS 480,Machine Learning and Data Analysis,"Learn to harness data power to solve complex problems, extract patterns, process large datasets and apply machine learning algorithms and models",Undergraduate,In-person,https://www.emporia.edu/school-business/cybersecurity-technology/bachelor-science-computer-science-data-science-concentration/
Emporia State University,Bachelor of Science in Computer Science - Data Science Concentration,School of Business and Technology,CS 485,Big Data Analytics,Advanced techniques for processing and analyzing big data including distributed computing and machine learning for business intelligence,Undergraduate,In-person,https://www.emporia.edu/school-business/cybersecurity-technology/bachelor-science-computer-science-data-science-concentration/
Washburn University,Bachelor of Science in Computer Science,Department of Computer Science,CS 470,Introduction to Artificial Intelligence,"Fundamental concepts and applications of artificial intelligence including search algorithms, knowledge representation, and machine learning",Undergraduate,In-person,www.washburn.edu/
Johnson County Community College,Associate of Applied Science in Computer Information Systems,Department of Computer Science and Information Technology,DS 140,Introduction to Data Science and Machine Learning,"Describe machine learning in big data context, use structured and unstructured data, create supervised and unsupervised machine learning models",Undergraduate,In-person,https://catalog.jccc.edu/coursedescriptions/ds/
Johnson County Community College,Continuing Education Certificate in Artificial Intelligence,Workforce Development and Continuing Education,AI 101,Artificial Intelligence Tools and Applications,"Learn cutting edge AI tools such as ChatGPT, Copilot, and Gemini to increase productivity and use generative AI for complex business problems",Professional,In-person,https://www.jccc.edu/academics/ce/artificial-intelligence-ce/
Friends University,Bachelor of Science in Computer Information Systems,Department of Computer Science,CIS 410,Business Analytics with AI,Application of artificial intelligence and analytics in business decision making including predictive modeling and data-driven strategies,Undergraduate,In-person,www.friends.edu/
Newman University,Bachelor of Science in Information Systems,Department of Computer Science,IS 430,Database Analytics and Mining,"Advanced database techniques for data mining and analysis including SQL analytics, NoSQL databases, and machine learning integration",Undergraduate,In-person,www.newmanu.edu/
MidAmerica Nazarene University,Bachelor of Science in Computer Science,Department of Computer Science,CS 425,Machine Learning Applications,"Practical applications of machine learning in various domains including healthcare, finance, and technology with hands-on project experience",Undergraduate,In-person,https://www.mnu.edu/
Hutchinson Community College,Associate of Applied Science in Information Technology,Department of Computer Science and Information Technology,IT 250,Introduction to Data Science,"Basic concepts in data collection, cleaning, analysis, and visualization using modern tools and programming languages",Undergraduate,In-person,www.hutchcc.edu/
Kansas City Kansas Community College,Associate of Applied Science in Computer Information Systems,Department of Computer Science,CIS 270,Database Management and Analytics,Database design and management with focus on data analytics and business intelligence applications,Undergraduate,In-person,www.kckcc.edu/
Butler Community College,Associate of Science in Computer Science,Department of Computer Science,CS 220,Introduction to Artificial Intelligence,"Fundamental concepts of artificial intelligence including search algorithms, knowledge representation, and basic machine learning principles",Undergraduate,In-person,www.butlercc.edu/
Barton County Community College,Associate of Applied Science in Information Technology,Department of Computer Information Systems,IT 240,Data Analytics Fundamentals,"Introduction to data analytics concepts including data collection, statistical analysis, and visualization techniques for business applications",Undergraduate,In-person,https://www.bartonccc.edu/
Garden City Community College,Associate of Applied Science in Computer Science,Department of Computer Science,CS 260,Introduction to Machine Learning,"Basic machine learning concepts and algorithms including supervised learning, classification, and regression analysis",Undergraduate,In-person,www.gcccks.edu/
Manhattan Area Technical College,Associate of Applied Science in Information Technology,Department of Information Technology,IT 235,Data Analysis and Visualization,Practical skills in data analysis and visualization using industry-standard software and programming tools for technical applications,Undergraduate,In-person,https://manhattantech.edu/
Wichita State University-Campus of Applied Sciences and Technology,Associate of Applied Science in Computer Information Systems,School of Applied Sciences and Technology,CIS 285,Database Systems and Analytics,"Advanced database management with emphasis on data warehousing, business intelligence, and analytical reporting systems",Undergraduate,In-person,www.wsutech.edu/
Emporia State University,Master of Science in Informatics,School of Library and Information Studies,LI 890,Advanced Data Science and Analytics,"Advanced techniques in data science including machine learning, text mining, and information visualization for library and information sciences",Graduate,In-person,www.emporia.edu/
Kansas State University,Undergraduate Certificate in Advanced Intelligent Systems Programming,Department of Computer Science,CS 545,Intelligent Systems Programming,"Advanced programming skills for AI and machine learning applications including neural networks, genetic algorithms, and expert systems",Undergraduate,In-person,https://www.salina.k-state.edu/academics/degree-options/advanced-intelligent-systems-certifcate/index.html
