County_Name,County_Population,Total_Online_Impact_Score,Broadband_Access_Index,Internet_Adoption_Pct,Avg_Broadband_Coverage_Pct,Pct_No_Internet,Total_Households,Effective_Access_Score
Labette County,19949,0.0,0.77987564279890642,79.8,76.1,17.7,8057,0.0
Lane County,1497,0.0,0.71847885543333367,82.3,61.4,13.9,725,0.0
Leavenworth County,82493,2.4,0.82359400892611712,90.8,73.9,7.2,29754,1.9766256214226809
Lincoln County,2924,0.0,0.6918918919999999,78.4,60.0,19,1221,0.0
Linn County,9723,0.0,0.77441210178000008,83.6,71.3,15.4,4299,0.0
Logan County,2720,0.0,0.7921254596,90.5,68.0,8.5,1238,0.0
Lyon County,32145,2.2,0.80854028167866665,88.6,73.1,8.6,13322,1.7787886196930667
Marion County,11795,0.0,0.78221471445454571,83.9,72.5,13,4692,0.0
Marshall County,10001,0.0,0.78341153186666668,85.6,71.0,12,4101,0.0
McPherson County,30130,1.4,0.84490975725833373,89,79.9,6.9,12151,1.1828736601616672
Meade County,3949,0.0,0.81906847880666667,86.4,77.4,12.2,1496,0.0
Miami County,34625,0.0,0.83959602174080461,86.4,81.5,9.8,13532,0.0
Mitchell County,5767,0.0,0.80188725660833338,84.8,75.5,9.3,2567,0.0
Montgomery County,31143,0.0,0.79592937832352972,84.2,75.0,13.2,12871,0.0
Morris County,5388,0.0,0.752941951,85,65.6,12.6,2499,0.0
Morton County,2647,0.0,0.80158000188636347,84.4,75.9,12.4,950,0.0
Nemaha County,10213,0.0,0.80268353567619055,85.6,74.9,9.7,4047,0.0
Neosho County,15715,0.0,0.77515595914545465,82.2,72.8,14.8,6322,0.0
Ness County,2659,0.0,0.76878124694666639,89.7,64.1,8.9,1163,0.0
Norton County,5392,0.0,0.82071679147999987,92.6,71.5,6.6,1917,0.0
Osage County,15780,0.0,0.79407300329487207,83.7,75.2,13.2,6362,0.0
Osborne County,3473,0.0,0.73615536401999959,84,63.2,14.4,1609,0.0
Ottawa County,5782,0.0,0.82088031807777773,87.5,76.7,10.2,2377,0.0
Pawnee County,6220,0.0,0.82619208822777779,89.2,76.0,10.6,2415,0.0
Phillips County,4874,0.0,0.77117677978333332,85.7,68.5,12.2,2182,0.0
Pottawatomie County,25808,0.0,0.81871759149206391,91.2,72.5,6,9084,0.0
Pratt County,9120,0.0,0.81272792145833339,84.2,78.3,12,3521,0.0
Rawlins County,2533,0.0,0.80345174263333341,85,75.7,13.8,1166,0.0
Reno County,61693,0.0,0.82630245767828758,82.7,82.5,12.7,25344,0.0
Republic County,4662,0.0,0.75935602609333319,75,76.8,23,1994,0.0
Rice County,9389,0.0,0.80814911937333322,85.7,76.0,11.1,3694,0.0
Riley County,71710,6.6,0.82982761663283611,90.9,75.1,5.3,27137,5.476862269776718
Rooks County,4869,0.0,0.77068670166666675,84.1,70.1,11.3,2142,0.0
Rush County,2957,0.0,0.76188642244,90.4,61.9,9.1,1382,0.0
Russell County,6717,0.0,0.76243126118245585,86.9,65.6,11.6,3099,0.0
Saline County,53801,0.0,0.82186882977435927,87.4,77.0,10.6,22299,0.0
Scott County,5071,0.0,0.79339252333333343,81.8,76.9,10.6,2190,0.0
Sedgwick County,524810,2.6,0.84727009155061694,90.8,78.6,7.2,205024,2.2029022380316041
Seward County,21640,0.0,0.82179611247543871,87,77.3,10.6,7208,0.0
Shawnee County,178315,0.0,0.78424601496666679,86.2,70.7,10.9,74528,0.0
Sheridan County,2442,0.0,0.83846053557777789,92.4,75.3,7.6,1022,0.0
Sherman County,5919,0.0,0.84608314063333312,91.8,77.4,7.3,2358,0.0
Smith County,3579,0.0,0.79148858093333341,85,73.3,12,1578,0.0
Stafford County,4004,0.0,0.84067188469999987,86.4,81.7,12.7,1598,0.0
Stanton County,2018,0.0,0.426399027,85.3,-1.0,14,822,0.0
Stevens County,5212,0.0,0.83501525145555555,90.1,76.9,7.2,1789,0.0
Sumner County,22386,0.0,0.81058994629868453,84.7,77.5,12.9,8974,0.0
Thomas County,7913,0.0,0.8089890304125,89.6,72.2,9.1,3101,0.0
Trego County,2778,0.0,0.77832976249999986,89,66.7,10.3,1346,0.0
Wabaunsee County,6961,0.0,0.755868285061111,84.1,67.1,14.6,2616,0.0
Wallace County,1459,0.0,0.82326606006666658,87.3,77.4,9.4,660,0.0
Washington County,5519,0.0,0.70791239809166662,76.6,64.9,20,2371,0.0
Wichita County,2115,0.0,0.83357263723333341,93.6,73.1,4.1,878,0.0
Wilson County,8559,0.0,0.76856789845925944,79.3,74.4,17.7,3515,0.0
Woodson County,3118,0.0,0.75189545636666666,82.8,67.6,15.7,1226,0.0
Wyandotte County,167277,0.0,0.81814279208319907,86.7,76.9,9.5,61241,0.0
